Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,629.000000,651.700012,626.049988,637.400024,622.156494,8330276
2020-04-15,651.400024,653.299988,635.599976,639.049988,623.767029,11963447
2020-04-16,619.950012,634.900024,603.500000,623.849976,608.930481,17783287
2020-04-17,644.000000,646.000000,626.000000,628.750000,613.713379,8878320
2020-04-20,640.000000,661.000000,639.000000,653.299988,637.676270,13322913
2020-04-21,627.799988,646.500000,627.799988,633.200012,618.056946,11660575
2020-04-22,633.200012,645.000000,628.049988,641.849976,626.500061,8266728
2020-04-23,647.049988,683.650024,638.099976,679.299988,663.054443,14451289
2020-04-24,668.549988,675.000000,654.799988,658.000000,642.263794,7319940
2020-04-27,661.049988,681.000000,661.049988,664.599976,648.705994,7183306
2020-04-28,673.000000,677.000000,653.049988,660.700012,644.899292,7296571
2020-04-29,666.000000,682.000000,658.000000,676.549988,660.370239,8639056
2020-04-30,700.000000,720.000000,698.099976,715.500000,698.388733,16253821
2020-05-04,689.799988,701.200012,670.349976,673.700012,657.588379,9122740
2020-05-05,681.750000,685.599976,670.000000,673.700012,657.588379,6393053
2020-05-06,676.900024,681.450012,664.049988,665.900024,649.974915,7934250
2020-05-07,665.549988,674.349976,662.450012,664.950012,649.047607,4779548
2020-05-08,672.250000,680.900024,668.500000,674.200012,658.076416,8400321
2020-05-11,682.500000,698.549988,678.000000,682.900024,666.568420,7370186
2020-05-12,678.500000,691.000000,675.500000,687.650024,671.204834,7356039
2020-05-13,694.799988,699.900024,683.750000,694.150024,677.549316,8287101
2020-05-14,659.000000,671.750000,652.599976,658.150024,642.410278,16888262
2020-05-15,664.799988,664.799988,646.700012,652.299988,636.700195,9255353
2020-05-18,659.849976,670.549988,653.000000,663.900024,648.022766,10435442
2020-05-19,664.000000,674.799988,655.000000,668.599976,652.610291,5902208
2020-05-20,668.500000,673.000000,659.650024,669.549988,653.537598,5794636
2020-05-21,666.500000,679.450012,665.400024,672.200012,656.124268,7213225
2020-05-22,675.000000,695.849976,673.500000,692.349976,675.792297,11867731
2020-05-26,693.000000,699.450012,679.000000,680.549988,664.274536,7099606
2020-05-27,686.049988,709.200012,675.000000,705.450012,688.579102,8774636
2020-05-28,707.000000,710.000000,690.000000,707.400024,690.482483,9440091
2020-05-29,692.500000,700.799988,674.950012,691.000000,683.655762,28290128
2020-06-01,698.750000,706.650024,691.500000,699.549988,692.114868,12276438
2020-06-02,700.500000,711.650024,697.549988,708.099976,700.573975,7059304
2020-06-03,710.700012,711.900024,696.000000,701.549988,694.093628,11378568
2020-06-04,702.000000,709.450012,697.500000,707.750000,700.227722,10782424
2020-06-05,707.000000,711.700012,700.599976,703.549988,696.072388,7718679
2020-06-08,707.650024,725.799988,704.000000,720.849976,713.188477,10719105
2020-06-09,720.000000,729.599976,715.049988,717.599976,709.973022,10078029
2020-06-10,715.000000,719.450012,709.200012,715.849976,708.241638,7263049
2020-06-11,712.000000,713.400024,700.250000,703.950012,696.468140,8825715
2020-06-12,675.799988,695.150024,675.500000,692.049988,684.694580,9795316
2020-06-15,693.000000,704.400024,685.250000,687.549988,680.242432,7857344
2020-06-16,702.000000,712.000000,699.150024,701.200012,693.747375,10131760
2020-06-17,699.900024,710.299988,698.000000,703.650024,696.171326,7291916
2020-06-18,708.200012,716.599976,706.000000,713.900024,706.312378,6670195
2020-06-19,709.000000,711.900024,701.000000,705.549988,698.051147,22438862
2020-06-22,707.099976,708.700012,700.000000,703.700012,696.220825,7804096
2020-06-23,695.700012,724.500000,692.099976,720.650024,712.990662,12157390
2020-06-24,716.900024,726.799988,709.400024,714.150024,706.559753,10220838
2020-06-25,704.849976,705.599976,693.500000,700.500000,693.054810,14945284
2020-06-26,710.200012,751.599976,710.000000,748.200012,740.247864,26030458
2020-06-29,735.400024,744.700012,730.099976,731.750000,723.972656,8954428
2020-06-30,732.799988,738.950012,724.250000,735.950012,728.128052,10411290
2020-07-01,737.250000,742.299988,729.750000,731.900024,724.121094,5477468
2020-07-02,737.349976,765.450012,735.400024,756.599976,748.558533,17263756
2020-07-03,755.000000,764.000000,752.500000,762.700012,754.593750,7796572
2020-07-06,765.200012,775.000000,761.500000,764.000000,755.879883,8810958
2020-07-07,769.400024,796.950012,765.549988,794.150024,785.709473,19362533
2020-07-08,784.900024,784.900024,772.200012,774.700012,766.466187,8476642
2020-07-09,780.000000,790.000000,775.000000,781.700012,773.391785,6854166
2020-07-10,773.500000,789.900024,773.500000,781.849976,773.540161,5206452
2020-07-13,788.000000,805.349976,786.049988,797.049988,788.578613,10804688
2020-07-14,792.950012,806.400024,781.349976,783.250000,774.925293,8961822
2020-07-15,799.000000,848.450012,794.799988,830.950012,822.118347,30060599
2020-07-16,900.099976,955.500000,894.250000,911.000000,901.317505,90432109
2020-07-17,911.000000,919.900024,892.150024,903.150024,893.550964,31682878
2020-07-20,908.500000,945.000000,906.750000,934.299988,924.369873,18421053
2020-07-21,945.000000,949.700012,929.200012,936.750000,926.793823,12877784
2020-07-22,938.950012,939.000000,910.000000,917.900024,908.144226,14354201
2020-07-23,915.650024,915.799988,900.650024,907.950012,898.299927,13051307
2020-07-24,903.250000,925.750000,903.250000,922.849976,913.041565,18209580
2020-07-27,921.549988,952.799988,918.650024,948.450012,938.369507,16827870
2020-07-28,946.000000,967.549988,941.200012,962.849976,952.616394,15818463
2020-07-29,953.250000,960.000000,943.599976,954.150024,944.008911,11152710
2020-07-30,962.000000,972.650024,958.750000,961.450012,951.231323,12492320
2020-07-31,969.250000,986.450012,953.299988,966.000000,955.732971,12704346
2020-08-03,960.000000,965.400024,947.450012,956.900024,946.729736,8479792
2020-08-04,960.450012,970.700012,940.549988,949.849976,939.754578,11133170
2020-08-05,952.000000,960.950012,938.299988,944.700012,934.659363,9614176
2020-08-06,953.500000,974.400024,942.500000,970.849976,960.531372,10976491
2020-08-07,969.450012,969.450012,949.000000,950.900024,940.793457,8010948
2020-08-10,948.900024,956.799988,945.299988,951.349976,941.238647,5716319
2020-08-11,949.900024,962.000000,946.099976,948.450012,938.369507,6802442
2020-08-12,948.000000,958.799988,942.200012,954.950012,944.800415,6908726
2020-08-13,954.799988,968.500000,948.250000,951.200012,941.090271,5097703
2020-08-14,955.849976,963.000000,952.049988,953.599976,943.464722,4663873
2020-08-17,954.099976,972.450012,954.099976,957.500000,947.323303,9008210
2020-08-18,963.900024,969.200012,958.700012,967.549988,957.266479,6141761
2020-08-19,970.900024,971.549988,957.450012,959.299988,949.104187,6622744
2020-08-20,958.900024,965.500000,951.299988,955.150024,944.998291,5656501
2020-08-21,963.049988,963.450012,946.549988,948.799988,938.715759,6513773
2020-08-24,947.000000,952.000000,939.200012,947.400024,937.330688,5798574
2020-08-25,947.500000,948.650024,933.599976,938.099976,928.129456,6233918
2020-08-26,941.250000,954.250000,938.400024,950.799988,940.694519,5153601
2020-08-27,960.000000,960.950012,945.200012,947.049988,936.984375,6154280
2020-08-28,951.450012,952.500000,933.049988,935.250000,925.309814,7593610
2020-08-31,935.250000,950.500000,914.599976,928.599976,918.730469,12808355
2020-09-01,926.250000,935.000000,912.099976,914.150024,904.434082,6907773
2020-09-02,915.000000,926.400024,913.500000,924.000000,914.179382,5678118
2020-09-03,926.500000,949.400024,924.000000,935.549988,925.606567,8827948
2020-09-04,915.000000,929.500000,914.450012,919.150024,909.380920,8650342
2020-09-07,918.900024,927.549988,913.049988,925.049988,915.218201,6700385
2020-09-08,929.950012,952.000000,925.549988,939.299988,929.316711,12891964
2020-09-09,935.000000,946.000000,926.000000,927.750000,917.889526,5528947
2020-09-10,935.299988,942.000000,924.799988,940.049988,930.058777,5171884
2020-09-11,934.900024,954.150024,931.000000,945.700012,935.648743,6671903
2020-09-14,957.000000,991.049988,948.299988,978.400024,968.001221,21871587
2020-09-15,979.500000,994.000000,971.650024,982.450012,972.008118,11608203
2020-09-16,986.000000,1005.650024,982.000000,1001.750000,991.103027,10059251
2020-09-17,995.000000,1021.000000,995.000000,1011.000000,1000.254700,15628241
2020-09-18,1011.000000,1018.799988,999.099976,1002.150024,991.498779,12897633
2020-09-21,1001.000000,1031.000000,1000.500000,1009.900024,999.166382,14140637
2020-09-22,1009.000000,1022.500000,991.200012,1007.500000,996.791870,12625762
2020-09-23,1020.150024,1037.000000,1008.099976,1019.750000,1008.911682,13486204
2020-09-24,1003.000000,1009.000000,970.000000,975.400024,965.033081,14427432
2020-09-25,975.799988,1014.900024,975.000000,1011.450012,1000.699890,13311078
2020-09-28,1014.799988,1016.150024,998.500000,1010.400024,999.661072,8554526
2020-09-29,1018.000000,1028.000000,1004.099976,1009.000000,998.275940,8708463
2020-09-30,1009.000000,1023.950012,1005.000000,1008.250000,997.533936,8048817
2020-10-01,1020.599976,1026.500000,1011.750000,1017.650024,1006.834045,5563358
2020-10-05,1018.049988,1054.900024,1018.049988,1048.699951,1037.553955,14212509
2020-10-06,1055.000000,1060.000000,1031.349976,1055.750000,1044.529053,9090819
2020-10-07,1044.900024,1072.000000,1035.500000,1066.550049,1055.214355,9284008
2020-10-08,1090.000000,1124.000000,1088.400024,1093.699951,1082.075684,21482613
2020-10-09,1095.099976,1113.300049,1088.449951,1106.800049,1095.036499,10567867
2020-10-12,1123.000000,1140.000000,1112.099976,1132.099976,1120.067505,14633537
2020-10-13,1135.550049,1166.050049,1135.550049,1157.800049,1145.494507,17523825
2020-10-14,1162.000000,1164.900024,1131.099976,1137.000000,1124.915527,16649573
2020-10-15,1180.000000,1186.000000,1092.500000,1108.250000,1096.471069,44288251
2020-10-16,1113.849976,1135.949951,1096.900024,1127.500000,1115.516479,18365685
2020-10-19,1135.000000,1139.000000,1115.300049,1125.900024,1113.933472,12902123
2020-10-20,1118.900024,1144.699951,1110.000000,1137.500000,1125.410156,10448776
2020-10-21,1141.150024,1154.349976,1135.000000,1148.349976,1136.144897,19811433
2020-10-22,1142.000000,1158.000000,1123.800049,1129.050049,1117.050049,11271335
2020-10-23,1133.000000,1135.000000,1120.150024,1122.500000,1122.500000,9069862
2020-10-26,1122.250000,1129.599976,1103.150024,1112.449951,1112.449951,6309368
2020-10-27,1105.699951,1109.699951,1077.150024,1090.849976,1090.849976,10172479
2020-10-28,1095.500000,1104.750000,1070.050049,1076.550049,1076.550049,7608392
